id, TITLE, UNIF TITLE, AUTHOR, ISBN/ISSN, LOCATIONS, SHELF INFO, IMPRINT, EDITION, SUBJECT, NOTE, SERIES, DESCRIPT, ALT TITLE, ALT AUTHOR
"11","Easy virtue [DVD] / a Sony Pictures Classics release, Ealing; Studios in association with Endgame Entertainment, Odyssey; Entertainment and BBC Films presents a Fragile Film in; association with Joe Abrams Production and Prescence Production; Partnerships ; produced by Barnaby Thompson, Joe Abrams, James; D. Stern ; screenplay by Stephan Elliott and Sheridan Jobbins ;; directed by Stephan Elliott.","Easy virtue (Motion picture)","","1435968719.","Public Library","PubLib DVD (1st floor)  FEATURE FILM - E","Culver City, Calif. : Sony Pictures Home Entertainment, [2009]","","Americans -- England -- Drama.; Married people -- England -- Drama.; Parent and adult child -- England -- Drama.; Rich people -- England -- Drama.; Man-woman relationships -- England -- Drama.; Mujeres americanas -- Inglaterra -- Teatro. bidex.; Personas casadas -- Inglaterra -- Teatro. bidex.; Romantic comedy films.; Video recordings for the hearing impaired.; Feature films.; Fiction films.; DVD video discs.","DVD, anamorphic widescreen (2.35:1); Dolby Digital 5.1 surround.; English, dubbed Portuguese or dubbed Spanish dialogue, English,; Portuguese or Spanish subtitles; closed-captioned.; Jessica Biel, Colin Firth, Kristin Scott Thomas, Ben Barnes, Kris; Marshall, Katherine Parkinson, Christian Brassington, Charlotte; Riley, Jim McManus, Pip Torrens.; Director of photography, Martin Kenzie ; editor, Sue Blainey ;; music, Marius de Vries.; Based on the play by Noel Coward.; Originally released as a motion picture in 2008.; MPAA rating: PG-13; for sexual content, brief partial nudity, and; smoking throughout.; John Whittaker is a young Englishman who falls madly in love with; Larita, a sexy, glamorous American woman. The two impulsively; decide to get married. He takes her home to meet his family,; she arrives like a blast from the future. John's mother takes; an instant disliking to Lairta and undermines her every move.; But Larita will blow their entrenched British stuffiness right; out the window.","","1 videodisc (96 min.) : sd., col. ; 4 3/4 in.","","Thompson, Barnaby.; Abrams, Joe.; Stern, James D.; Elliott, Stephan.; Jobbins, Sheridan.; Biel, Jessica, 1982-; Firth, Colin, 1960-; Scott-Thomas, Kristin, 1960-; Barnes, Ben, 1981-; Marshall, Kris, 1974-; Parkinson, Katherine.; Brassington, Christian.; Riley, Charlotte.; McManus, Jim.; Torrens, Pip, 1960-; De Vries, Marius.; Coward, Noel, 1899-1973. Easy virtue.; Sony Pictures Classics (Firm); Ealing Studios.; Endgame Entertainment (Firm); Odyssey Entertainment (Firm); BBC Films.; Fragile Films.; Joe Abrams Production (Firm); Prescence Production Partnerships.; Sony Pictures Home Entertainment (Firm)"
"12","The writer's portable mentor : a guide to art, craft, and the; writing life / Priscilla Long.","","Long, Priscilla.","9780984242108.","Public Library","PubLib NONFICTION (2nd  808.02 L849","Seattle, WA : Wallingford Press, c2010.","","Authorship -- Handbooks, manuals, etc.","Includes bibliographical references (p. 332-344) and index.","","ix, 349 p. ; 21 cm.","",""
"13","The folks that live on the hill : a novel / Kingsley Amis.","","Amis, Kingsley.","0671708163.","Public Library","PubLib FICTION (1st flo FIC AMIS, K.","New York : Summit Books, c1990.","","","""Originally published in Great Britain by Century Hutchinson; Ltd.""--Galley t.p. verso.","","246 p.","",""
"14","Roy Clarke's Keeping up appearances [DVD] / written by Roy Clarke; ; produced & directed by Harold Snoad.","Keeping up appearances (Television program)","","0790794098 (Set)","Public Library","PubLib DVD (1st floor)  TV PRODUCTION Vol. 1","[London?] : BBC Video ; Burbank, CA : Distributed in the USA and; Canada by Warner Home Video, c2004.","","Snobs and snobbishness -- Great Britain -- Drama.; Married people -- Great Britain -- Drama.; Sisters -- Great Britain -- Drama.; Social classes -- Great Britain -- Drama.; Class consciousness -- Great Britain -- Drama.; Television comedies -- Great Britain.; Video recordings for the hearing impaired.; DVD video discs lcsh.","DVD.; Closed-captioned.; Title from container.; Patricia Routledge, Josephine Tewson, Judy Cornwell, Geoffrey; Hughes, Shirley Stelfox, Clive Swift.; Originally broadcast as episodes of the BBC-TV television program; Keeping up appearances from 1990 to 1995.; MPAA rating: Not rated.; Social climber Hyacinth Bucket (pronounced 'Bouquet, ' of; course!) puts her best foot forward in this high-class comedy.; She performs selfless acts of charity for the lower classes; (her sisters), doles out invaluable advice to her husband; Richard, acts the part of adoring eldest daughter to her; incapacitated Daddy, and still finds time to keep the neighbors; on edge with her morning coffees and candlelight dinner; parties.; 1. My way or the Hyacinth way -- 2. Hints from Hyacinth -- 3.; Home is where the Hyacinth is -- 4. Deck the halls with; Hyacinth -- 5. Everything's coming up Hyacinth -- 6. Some like; it Hyacinth -- 7. Living the Hyacinth life -- 8. Hats off to; Hyacinth.; Special features include: Cast biographies and outtakes.","","8 videodiscs (ca. 1400 min.) : sd., col. ; 4 3/4 in.","Keeping up appearances.","Clarke, Roy, 1930-; Snoad, Harold.; Routledge, Patricia.; Tewson, Josephine.; Cornwell, Judy, 1940-; Hughes, Geoffrey, 1944-2012.; Stelfox, Shirley.; Swift, Clive.; BBC Video (Firm); Warner Home Video (Firm); British Broadcasting Corporation. Television Service."
"15","Jeeves & Wooster. The complete third season [DVD] / produced by; Carnival Films for Granada Television ; producer, Brian Eastman; ; writer, Clive Exton, director, Ferdinand Fairfax.","Jeeves & Wooster (Television program)","","0767042751 (v. 1)","Public Library","PubLib DVD (1st floor)  TV PRODUCTION Vol. 1","New York : A & E Television Networks : Distributed by New Video; Group, c2001.","","Comedy television programs. gsafd.; Television comedies. lcgft.; Television series. lcgft.; Television programs. lcgft.; DVD video discs.; Television Series.","DVD; Dolby digital stereo.; Title from disc surface.; Hugh Laurie, Stephen Fry.; Based on the stories of P.G. Wodehouse.; Originally produced in 1992 for British television.; v. 1. Bertie sets sail. Full house. Introduction on Broadway --; v. 2. Right ho, Jeeves. Hot off the press. Comrade Bingo.; DVD special features include: P.G. Wodehouse biography/; filmography.; Director of photography, Peter Jessop ; editor, Derek Bain ;; music, Anne Dudley.; Bertie wreaks havoc in New York and England as he deals with; meddlesome relatives and romantic entanglements, while Jeeves; protects everyone from Bertie - including Bertie.","","2 videodiscs (300 min.) : sd., col. ; 4 3/4 in.","Jeeves and Wooster, the complete third season.; Title on container: P.G. Wodehouse's Jeeves & Wooster, the; complete third season.","Laurie, Hugh, 1959-; Fry, Stephen, 1957-; Wodehouse, P. G. (Pelham Grenville), 1881-1975."
"16","A million miles in a thousand years : what I learned while; editing my life / Donald Miller.","","Miller, Donald, 1971-","9780785213062 (pbk.)","Public Library","PubLib BIOGRAPHIES (2nd B MILLER, D.","Nashville, Tenn. : Thomas Nelson ; London : New Holland; [distributor], 2010.","","Miller, Donald, 1971-; Christian biography -- United States.; Autobiography -- Authorship.","","","xiii, 257 p. 21 cm.","",""
"17","The case of the man who died laughing : from the files of Vish; Puri, India's most private investigator. / Tarquin Hall.","","Hall, Tarquin.","9781416583691 (alk. paper)","Public Library","PubLib FICTION (1st flo FIC HALL, T.","New York : Simon & Schuster, 2010.","1st Simon & Schuster harcover ed.","Private investigators -- India -- Fiction.; India -- Fiction.; Mystery fiction. gsafd.","Sequel to: The case of the missing servant.; A prominent Indian scientist dies in a fit of giggles when a; Hindu goddess appears from a mist and plunges a sword into his; chest. The main suspect is a powerful guru named Maharaj Swami,; who seems to have done away with his most vocal critic. Vish; Puri, India's Most Private Investigator, master of disguise and; lover of all things fried and spicy, doesn't believe the murder; is a supernatural occurrence, and proving who really killed Dr.; Suresh Jha will require all the detective's earthly faculties.; To get at the truth, he and his team of undercover operatives; travel from the slum where India's hereditary magicians must be; persuaded to reveal their secrets to the holy city of Haridwar; on the Ganges.","","309 p. ; 23 cm.","",""
"18","Martha Stewart's cookies : the very best treats to bake and to; share / from the editors of Martha Stewart Living ; photographs; by Victor Schrager and others.","Martha Stewart living.","","9780307394545.","Public Library","PubLib NONFICTION (2nd  641.8654 S851","New York : Clarkson Potter/Publishers, c2008.","1st ed.","Cookies.","Includes index.","","352 p. : col. ill. ; 24 cm.","Cookies.","Schrager, Victor.; Stewart, Martha."
"19","Rudolph the red-nosed reindeer [DVD] / Rankin/Bass present ;; produced by Arthur Rankin, Jr. ; written by Romeo Muller ;; director, Larry Roemer ; Videocraft International production.","Rudolph, the red-nosed reindeer (Television program)","","796019802994.","Public Library YOUTH","PubLib YOUTH DVD (1st f DVD RUD","[United States] : Classic Media ; Santa Monica, CA : Distributed; by Genius Entertainment, c2007.","","Reindeer -- Juvenile films.; Santa Claus -- Juvenile films.; Christmas -- Juvenile films.; Christmas stories -- Juvenile films.; Christmas music -- Juvenile films.; Reindeer -- Drama.; Santa Claus -- Drama.; Television musicals.; Fiction television programs.; Christmas television programs.; Children's television programs.; Television programs for the hearing impaired.; Video recordings for the hearing impaired.; Children's -- Animation -- Television special. migfg.; Animated television programs. gsafd.; Animated television music.; DVD video discs.","DVD, region 1, NTSC.; English, French, and Spanish language tracks ; closed-captioned.; Told and sung by Burl Ives ; voices of Larry Mann, Billy; Richards, Paul Soles, Stan Francis, Alfie Scopp, Janis; Orenstein, Paul Kligman, Carl Banas, Corine Conley, Peg Dixon.; Music and lyrics, Johnny Marks ; musical director Maury Laws ;; animation supervisor, Tad Mochinaga.; Adapted from a story by Robert May and the song by Johnny Marks.; Originally presented on television in 1964.; ""Digitally remastered""--Container.; Christmas will be canceled unless Santa can find a way to guide; his sleigh through a blizzard. Frosty the Snowman (Burl Ives); narrates and sings the animated story of a misfit reindeer who; saves Christmas.; Songs performed by Burl Ives: Holly jolly Christmas -- Silver and; gold -- Rudolph the red-nosed reindeer.; Special features: Destiny's Child video ; Regis Philbin music; video ; Rudolph trivia game ; ""Fame and fortune"" song ;; original TV promo.; ""LVD80299DVD1""--Disc label.","","1 videodisc (52 min.) : sd., col. ; 4 3/4 in.","","Rankin, Arthur, Jr.; Roemer, Larry.; Muller, Romeo.; Ives, Burl, 1909-1995.; Marks, Johnny, 1909-1985.; May, Robert Lewis, 1905- Rudolph, the red-nosed reindeer.; Videocraft International, Ltd.; Rankin/Bass Productions.; Classic Media, Inc.; Genius Entertainment."
"20","Wooden boats : in pursuit of the perfect craft at an American; boatyard / Michael Ruhlman.","","Ruhlman, Michael, 1963-","0670888125 (alk. paper)","Public Library","PubLib NONFICTION (2nd  623.82 R933","New York : Viking, 2001.","","Rebecca (Wooden yacht); Yacht building -- Massachusetts -- Vineyard Haven.; Ruhlman, Michael, 1963-; Benjamin, Nat.; Gannon, Ross.; Schooners -- Design and construction.; Ships, Wooden -- Design and construction.","Includes bibliographical references (p.323-325).","","325 p. ; 25 cm.","",""
"21","Run Lola run [DVD] = Lola rennt / Sony Pictures Classics in; association with Bavaria Film International ; X-Filme Creative; Pool ; written and directed by Tom Tykwer ; produced by :; Stefan Arndt.","","","076783738X.","Public Library","PubLib DVD (1st floor)  FOREIGN FILM - R","Culver City, Calif. : Sony Pictures Home Entertainment, 2005,; 1999.","","Gangsters -- Drama.; Man-woman relationships -- Drama.; Foreign films.; Gangster films. lcgft.; Feature films. lcgft.; DVD video discs.","DVD; Region 1 ; Dolby Digital; Dolby surround; widescreen (aspect; ratio 1.85:1).; In German with optional English soundtrack; optional subtitles in; English or French, Closed-captioned.; Franka Potente (Lola), Moritz Bleibtreu (Manni), Herbert Knaup,; Nina Petri, Joachim Krol, Armin Rohde, Heino Ferch, Suzanne von; Borsody, Sebastian Schipper.; Director of photography, Frank Griebe ; editor, Mathilde Bonnefoy; ; music, Tom Tykwer, Johnny Klimek, Reinhold Heil.; Originally released as a motion picture in 1998.; Rated R for violence and language.; In this pulse-raising thriller, time is running out. Lola has; just received a frantic call from her boyfriend Manni, who's; accidentally lost a small fortune he was to deliver to his; mobster boss. If they cannot find a way to replace the money; within 20 minutes, Manni will suffer severe consequences.; Special features: Director & lead actress commentary, theatrical; trailers, music trailers, music video, talent files.; Sundance Film Festival: Audience award.","Staff Movie Pick.; Sony Pictures classics.; Sony Pictures classics.","1 videodisc (81 min.) : sd., col. ; 4 3/4 in.","Lola rennt.","Tykwer, Tom, 1965-; Potente, Franka, 1974-; Bleibtreu, Moritz, 1971-; Knaup, Herbert, 1956-; Petri, Nina.; Sony Pictures Classics (Firm); X Filme Creative Pool.; Bavaria Film International (Firm); Sony Pictures Home Entertainment (Firm)"
"22","Morning glory [DVD] / Paramount Pictures presents ; produced b y; J.J. Abrams, Bryan Burk ; written by Aline Brosch McKenna ;; directed by Roger Michell.","","","1415757933.","Public Library","PubLib DVD (1st floor)  FEATURE FILM - M","Hollywood, Calif. : Paramount Home Entertainment, 2011.","","Television producers and directors -- New York (State) -- New; York -- Drama.; Television programs -- Production and direction -- New York; (State) -- New York -- Drama.; Television news anchors -- Drama.; Feature films.; Comedy films.; Fiction films.; Video recordings for the hearing impaired.; Video recordings for people with visual disabilities.; DVD video discs.","DVD; Dolby digital 5.1 surround; region 1; NTSC; widescreen.; English, French or Spanish dialogue; English, French or Spanish; subtitles.; Closed-captioned.; Audio described.; Title from container.; Rachel McAdams, Harrison Ford, Diane Keaton, Patrick Wilson, Jeff; Goldblum.; Director of photography, Alwin Küchler ; edited by Dan Farrell ;; music by David Arnold.; Originally released as a motion picture in 2010.; MPAA rating: PG-13; for some sexual content including dialogue,; language, and brief drug references.; For Becky, running a TV show in New York City was the big break; she dreamed of, until star co-anchors Mike and Colleen declare; an all-out, on-air war. Making the show work with its cast of; eccentric characters and outrageous story angles will take a; major miracle, but Becky is ready to rise and outshine.; Special features: commentary by director Roger Michell and writer; Aline Brosh Mckenna; deleted scene.","","1 videodisc (107 min.) : sd., col. ; 4 3/4 in.","","McAdams, Rachel, 1976-; Ford, Harrison, 1942-; Keaton, Diane.; Wilson, Patrick, 1973-; Abrams, Jeffrey, 1964-; Burk, Bryan, 1968-; McKenna, Aline Brosh.; Michell, Roger, 1957-; Paramount Home Entertainment (Firm); Paramount Pictures Corporation (1914-1927)"
"23","American gods : a novel / Neil Gaiman.","","Gaiman, Neil.","9780062059888.","Public Library","PubLib FICTION (1st flo FIC GAIMAN, N.","New York : Perennial, 2003.","1st Perennial ed.","National characteristics, American -- Fiction.; Spiritual warfare -- Fiction.; Ex-convicts -- Fiction.; Bodyguards -- Fiction.; Widowers -- Fiction.; Fantasy fiction. gsafd.","","","592 p. ; 21 cm.","",""
"24","American gods [compact disc] / by Neil Gaiman.","","Gaiman, Neil.","1402566239.","Public Library","PubLib BOOK ON CD (1st  FIC GAIMAN, N.","Prince Frederick, MD : Recorded Books, p2001.","","Compact discs.; Audiobooks.; National characteristics, American -- Fiction.; Spiritual warfare -- Fiction.; Ex-convicts -- Fiction.; Bodyguards -- Fiction.; Widowers -- Fiction.; Gaiman, Neil -- Interviews.; Fantasy fiction. gsafd.; Compact discs.","Unabridged.; Compact disc.; Performed by George Guidall.; Includes an interview with author Neil Gaiman.; ""A Haights Cross Communications company.""; As Shadow is about to be released from prison, he learns that his; beloved wife has been killed in an accident. Feeling he has; nothing else to lose, he becomes involved in a dangerous scheme; that could cause him to lose more than he ever imagined.","Unabridged books on CD.; Unabridged books on CD.","19 sound discs (20.25 hrs.) : digital ; 4 3/4 in.; 201500.","","Guidall, George.; Recorded Books, Inc."
